Concentration,Freezing Point
0,32.0
1,28.3
2,27.5
3,26.8
4,26.2
5,25.6
6,25.1
7,24.6
8,24.1
9,23.7
10,23.4
11,23.0
12,22.6
13,22.3
14,22.0
15,21.6
16,21.3
17,20.9
18,20.6
19,20.2
20,19.7
21,19.3
22,18.8
23,18.2
24,17.6
25,17.0
26,16.4
27,15.6
28,14.8
29,14.0
30,13.1
31,12.2
32,11.2
33,10.1
34,9.0
35,7.8
36,6.5
37,5.2
38,3.8
39,2.4
40,0.8
41,-0.7
42,-2.4
43,-4.1
44,-5.8
45,-7.6
46,-9.4
47,-11.4
48,-13.3
49,-15.3
50,-17.3
51,-19.4
52,-21.5
53,-23.7
54,-25.8
55,-28.0
56,-30.2
57,-32.5
58,-34.7
59,-36.9
60,-39.2
61,-41.4
62,-43.6
63,-45.8
64,-47.9
65,-50.0
66,-52.1
67,-54.2
68,-56.1
69,-58.0
70,-59.8
